Scan:     17      HS0033+4300 2015-10-21 +01 26 39.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -522.5155843729883145     -0.0077822
    -520.1086154488705233     -0.0115301
    -517.7016078068825209     -0.0099428
    -515.2945614460921888     -0.0004677
    -512.8874763656008327     -0.0030863
    -510.4803525644102251      0.0033367
    -508.0731900416548115     -0.0017939
    -505.6659887963360802     -0.0095145
    -503.2587488275552801     -0.0014576
    -500.8514701344139439     -0.0012940
    -498.4441527158801932     -0.0073002
    -496.0367965711218972     -0.0058263
    -493.6294016991406011      0.0023980
    -491.2219680990043571      0.0002125
    -488.8144957698144708      0.0025755
    -486.4069847106057409      0.0006058
    -483.9994349204795299     -0.0017322
    -481.5918463984373261     -0.0022923
    -479.1842191436136886     -0.0007462
    -476.7765531550434730     -0.0037815
    -474.3688484317613643     -0.0002532
    -471.9611049729020920     -0.0038297
    -469.5533227774338343      0.0008039
    -467.1455018444911502     -0.0015130
    -464.7376421731754590      0.0034290
    -462.3297437624881923      0.0002189
    -459.9218066114974590      0.0020216
    -457.5138307193045648     -0.0011454
    -455.1058160849109981     -0.0044883
    -452.6977627074514317      0.0052402
    -450.2896705859605504     -0.0058882
    -447.8815397195065202      0.0006118
    -445.4733701071573364      0.0034796
    -443.0651617479477409     -0.0041940
    -440.6569146410124631     -0.0042895
    -438.2486287853196245      0.0003732
    -435.8403041800038409     -0.0071274
    -433.4319408241332212     -0.0049191
    -431.0235387167425642      0.0027816
    -428.6150978568998084      0.0016406
    -426.2066182436731197      0.0009698
    -423.7980998761305500      0.0003624
    -421.3895427533067846     -0.0043109
    -418.9809468743365528      0.0010044
    -416.5723122382213433     -0.0015767
    -414.1636388440624046     -0.0043751
    -411.7549266908945924     -0.0001872
    -409.3461757777859020     -0.0007957
    -406.9373861038376958     -0.0052312
    -404.5285576680848294     -0.0007906
    -402.1196904695619878      0.0022660
    -399.7107845074037300      0.0066343
    -397.3018397806117150     -0.0001637
    -394.8928562882871915     -0.0028996
    -392.4838340294982117      0.0048464
    -390.0747730032796312     -0.0016370
    -387.6656732086993884     -0.0039590
    -385.2565346448255923     -0.0008204
    -382.8473573107596053      0.0115689
    -380.4381412055029159      0.0092876
    -378.0288863281568297     -0.0035020
    -375.6195926777893987     -0.0015056
    -373.2102602534687890      0.0079780
    -370.8008890542295717     -0.0006469
    -368.3914790791400264     -0.0034676
    -365.9820303272680349      0.0024594
    -363.5725427976818196      0.0049433
    -361.1630164894825157     -0.0008998
    -358.7534514016718390      0.0025132
    -356.3438475333842916      0.0035235
    -353.9342048835880519     -0.0044077
    -351.5245234514177923     -0.0080976
    -349.1148032359416220     -0.0023930
    -346.7050442361942260     -0.0049245
    -344.2952464512437132      0.0016884
    -341.8854098801247687      0.0074966
    -339.4755345219721789      0.0011071
    -337.0656203757873186      0.0097173
    -334.6556674406715501      0.0037707
    -332.2456757156596154      0.0013672
    -329.8356451998196235     -0.0023476
    -327.4255758922196833     -0.0035370
    -325.0154677919610435      0.0088712
    -322.6053208980451927     -0.0006551
    -320.1951352095734933      0.0061612
    -317.7849107255807439      0.0017676
    -315.3746474451683071     -0.0001073
    -312.9643453673708677     -0.0041941
    -310.5540044912565918      0.0009289
    -308.1436248158934745      0.0048373
    -305.7332063403495681      0.0033113
    -303.3227490636929247      0.0062017
    -300.9122529849583429     -0.0031187
    -298.5017181032138751      0.0054510
    -296.0911444175608835      0.0044769
    -293.6805319270341101      0.0063490
    -291.2698806306683537      0.0065556
    -288.8591905275981730      0.0000712
    -286.4484616168251705      0.0106860
    -284.0376938974173413      0.0061680
    -281.6268873684759910     -0.0041716
    -279.2160420290359752      0.0046980
    -276.8051578781652893     -0.0085010
    -274.3942349148987319     -0.0074894
    -271.9832731383709188     -0.0059982
    -269.5722725475833954     -0.0074006
    -267.1612331416041002     -0.0030500
    -264.7501549195011989     -0.0024073
    -262.3390378803094336      0.0012545
    -259.9278820231634199      0.0022699
    -257.5166873470979567     -0.0042816
    -255.1054538511810108     -0.0027497
    -252.6941815344142128     -0.0038312
    -250.2828703959320933     -0.0091448
    -247.8715204347694225     -0.0046367
    -245.4601316499943096     -0.0046915
    -243.0487040406415247      0.0054180
    -240.6372376058123734      0.0019685
    -238.2257323445749364     -0.0078375
    -235.8141882559307021     -0.0069552
    -233.4026053390142863      0.0013979
    -230.9909835928272059     -0.0054676
    -228.5793230164707381     -0.0016484
    -226.1676236089797101     -0.0065581
    -223.7558853694555125      0.0044730
    -221.3441082968994920      0.0051959
    -218.9322923904464062      0.0035852
    -216.5204376490976870     -0.0027847
    -214.1085440719547250      0.0020162
    -211.6966116580855157     -0.0005104
    -209.2846404064915475      0.0029631
    -206.8726303163074931     -0.0007628
    -204.4605813865348409     -0.0049751
    -202.0484936162748966     -0.0063539
    -199.6363670045624588      0.0044511
    -197.2242015504988615      0.0001591
    -194.8119972531188751     -0.0014134
    -192.3997541114572698     -0.0047854
    -189.9874721246486899      0.0047789
    -187.5751512916613422     -0.0031349
    -185.1627916116298422     -0.0011772
    -182.7503930836222139     -0.0044715
    -180.3379557066400025      0.0001542
    -177.9254794797845136      0.0087139
    -175.5129644020905459     -0.0007996
    -173.1004104726594619      0.0030159
    -170.6878176905259465      0.0087489
    -168.2751860547248839     -0.0031645
    -165.8625155643908045     -0.0040604
    -163.4498062185252536      0.0046694
    -161.0370580161963119      0.0058501
    -158.6242709564386644      0.0039606
    -156.2114450384202939      0.0052034
    -153.7985802611094073      0.0049711
    -151.3856766236072815      0.0044407
    -148.9727341249488006      0.0090306
    -146.5597527642019031      0.0036345
    -144.1467325404347264      0.0082985
    -141.7336734526820123      0.0018296
    -139.3205755000450949      0.0072691
    -136.9074386815920548      0.0117011
    -134.4942629963243803      0.0170414
    -132.0810484433766874      0.0250198
    -129.6677950217504645      0.0411798
    -127.2545027305137779      0.0617414
    -124.8411715687679617      0.0666411
    -122.4278015355145186      0.0868579
    -120.0143926298880501      0.1009232
    -117.6009448508900874      0.1103832
    -115.1874581975886400      0.1298271
    -112.7739326690518027      0.1338878
    -110.3603682643475992      0.1334076
    -107.9467649825441384      0.1240720
    -105.5331228227094300      0.1230830
    -103.1194417838449766      0.1328946
    -100.7057218650854225      0.1263199
     -98.2919630654322276      0.1206643
     -95.8781653839867545      0.1207434
     -93.4643288197837876      0.1137228
     -91.0504533719246183      0.1139959
     -88.6365390394108061      0.1231557
     -86.2225858213436425      0.1187890
     -83.8085937167579260      0.1175359
     -81.3945627247217089      0.1205561
     -78.9804928443363110      0.1437959
     -76.5663840746032633      0.1630902
     -74.1522364145906039      0.1893389
     -71.7380498633996666      0.2388463
     -69.3238244200652218      0.2673794
     -66.9095600836553359      0.2927353
     -64.4952568532047934      0.3209906
     -62.0809147277816464      0.3519350
     -59.6665337064872290      0.3869444
     -57.2521137883230296      0.4202011
     -54.8376549723238327      0.4437288
     -52.4231572576575502      0.4734710
     -50.0086206433589382      0.5224826
     -47.5940451284295065      0.6140500
     -45.1794307119373002      0.7805564
     -42.7647773929836674      1.0717208
     -40.3500851706366603      1.6884832
     -37.9353540438977745      2.6510570
     -35.5205840118350693      3.1188316
     -33.1057750735498786      2.7642217
     -30.6909272280769763      2.1764240
     -28.2760404744844323      2.0099664
     -25.8611148118402916      2.2852671
     -23.4461502391793388      2.8285992
     -21.0311467555696261      2.8149042
     -18.6161043600459237      2.5199945
     -16.2010230517428653      2.5274422
     -13.7859028296286521      2.6956303
     -11.3707436928379124      2.9713058
      -8.9555456404054183      3.5295961
      -6.5403086713659437      4.7656226
      -4.1250327847875479      7.0147080
      -1.7097179797715711     10.6748037
       0.7056357446804952     16.0406990
       3.1210283894673099     17.8624210
       5.5364599555540979      9.8294353
       7.9519304438728033      4.1241522
      10.3674398553553679      2.1292801
      12.7829881910002978      1.1763356
      15.1985754516729745      0.6631770
      17.6142016383053353      0.3797024
      20.0298667518958879      0.2337460
      22.4455707933765787      0.1489742
      24.8613137636793482      0.0938173
      27.2770956637361373      0.0689274
      29.6929164944788901      0.0402715
      32.1087762569061184      0.0326270
      34.5246749518831919      0.0259447
      36.9406125803420551      0.0131986
      39.3565891433477901      0.0085873
      41.7726046416991892      0.0164402
      44.1886590764613416      0.0200935
      46.6047524484330538      0.0152882
      49.0208847587459715      0.0070608
      51.4370560081323376      0.0056596
      53.8532661976572129      0.0086053
      56.2695153282525524      0.0006742
      58.6858034008502969      0.0004436
      61.1021304163823800     -0.0062687
      63.5184963757807566     -0.0014351
      65.9349012799773675     -0.0039925
      68.3513451299707100      0.0010024
      70.7678279266261825      0.0003901
      73.1843496709422681     -0.0019175
      75.6009103638509146     -0.0070413
      78.0175100062840841     -0.0067327
      80.4341485992402596     -0.0068561
      82.8508261435182618     -0.0024099
      85.2675426402497436     -0.0074027
      87.6842980901669193     -0.0059356
      90.1010924944014562      0.0020495
      92.5179258537521463      0.0052267
      94.9347981692840932     -0.0064197
      97.3517094418626527     -0.0047825
      99.7686596724197585     -0.0057859
     102.1856488619539363     -0.0022730
     104.6026770113305417     -0.0033908
     107.0197441216146643     -0.0026717
     109.4368501936051246     -0.0069658
     111.8539952283669692      0.0043468
     114.2711792266990187      0.0023966
     116.6884021896663768     -0.0056125
     119.1056641182009486      0.0044557
     121.5229650132346819      0.0000075
     123.9403048756329611     -0.0049602
     126.3576837064608895      0.0000338
     128.7751015065837805     -0.0026329
     131.1925582769336245     -0.0067738
     133.6100540184423551      0.0006086
     136.0275887321750474      0.0025348
     138.4451624189304653      0.0020401
     140.8627750797071769     -0.0007530
     143.2804267154371303      0.0002958
     145.6981173271187799      0.0005136
     148.1158469156175670     -0.0033533
     150.5336154819319177     -0.0013468
     152.9514230270604003     -0.0025737
     155.3692695517352433     -0.0021384
     157.7871550570880856     -0.0030125
     160.2050795439843398     -0.0036632
     162.6230430133558968     -0.0039261
     165.0410454662012683     -0.0032732
     167.4590869034524303     -0.0102623
     169.8771673260413024     -0.0048001
     172.2952867348998325      0.0017724
     174.7134451309599683      0.0029729
     177.1316425151536293      0.0041445
     179.5498788884793555     -0.0068599
     181.9681542518690662      0.0003266
     184.3864686062547094      0.0018226
     186.8048219525682327     -0.0113547
     189.2232142917415842      0.0084133
     191.6416456247066833     -0.0007645
     194.0601159525286334     -0.0046451
     196.4786252759396348      0.0012115
     198.8971735960714113     -0.0037838
     201.3157609137892337     -0.0052513
     203.7343872300251064     -0.0023462
     206.1530525457775411     -0.0026499
     208.5717568619119220      0.0034589
     210.9905001794266752      0.0058980
     213.4092824992538624      0.0006255
     215.8281038223253461      0.0014622
     218.2469641495731025     -0.0031671
     220.6658634819955864      0.0010718
     223.0848018205248309      0.0006509
     225.5037791660261348      0.0033276
     227.9227955194980382      0.0061853
     230.3418508819390524      0.0038553
     232.7609452541479982      0.0034873
     235.1800786371898937      0.0011359
     237.5992510319967437     -0.0029128
     240.0184624395004676     -0.0027982
     242.4377128606330132      0.0039011
     244.8570022963263000     -0.0014653
     247.2763307475122758     -0.0050252
     249.6956982151895090     -0.0086986
     252.1151047002898622     -0.0033346
     254.5345502038118752      0.0028918
     256.9540347264878051      0.0020930
     259.3735582695158541     -0.0104633
     261.7931208336282225     -0.0055639
     264.2127224198900421     -0.0029060
     266.6323630292332609      0.0001241
     269.0520426625897699      0.0037969
     271.4717613209580804      0.0020299
     273.8915190051370132      0.0101936
     276.3113157161917002      0.0027990
     278.7311514550540323      0.0055190
     281.1510262226559576      0.0084924
     283.5709400199294237      0.0101235
     285.9908928478063217      0.0077338
     288.4108847072852768      0.0008765
     290.8309155992981232     -0.0004669
     293.2509855247102450      0.0002877
     295.6710944845202107     -0.0021925
     298.0912424797264748     -0.0027286
     300.5114295111944784      0.0073859
     302.9316555798561126      0.0047802
     305.3519206867764524      0.0005276
