Scan:      9          RBS2055 2015-10-20 +23 57 20.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -549.0048429835863999      0.0042842
    -546.5982334812392764      0.0027083
    -544.1915852691764712     -0.0036905
    -541.7848983464326693     -0.0053098
    -539.3781727121091762      0.0000065
    -536.9714083652407908      0.0012701
    -534.5646053049287048      0.0065577
    -532.1577635302411409      0.0056402
    -529.7508830401794739      0.0052986
    -527.3439638338785471      0.0038292
    -524.9370059103728181      0.0024003
    -522.5300092687306233      0.0012137
    -520.1229739080530408     -0.0005381
    -517.7158998273417865      0.0035936
    -515.3087870257314762      0.0034120
    -512.9016355021901745      0.0009180
    -510.4944452559192314     -0.0027307
    -508.0872162858867114     -0.0049520
    -505.6799485911274701      0.0006109
    -503.2726421708426301     -0.0047352
    -500.8652970239339197     -0.0031240
    -498.4579131496357718     -0.0081868
    -496.0504905469163646     -0.0080404
    -493.6430292147772434      0.0030341
    -491.2355291524195877      0.0002230
    -488.8279903588115758     -0.0011018
    -486.4204128331211336      0.0022651
    -484.0127965743164395      0.0009590
    -481.6051415814656593     -0.0026290
    -479.1974478536699849     -0.0056740
    -476.7897153899975820     -0.0017132
    -474.3819441895165028     -0.0003052
    -471.9741342512614324      0.0017210
    -469.5662855743004229      0.0013493
    -467.1583981577683176      0.0002010
    -464.7504720005997569      0.0015778
    -462.3425071019960910     -0.0019709
    -459.9345034609588083     -0.0015475
    -457.5264610764893405      0.0023133
    -455.1183799477889806     -0.0026011
    -452.7102600737925400     -0.0030001
    -450.3021014536678877     -0.0047616
    -447.8939040864499930     -0.0028687
    -445.4856679711401739     -0.0012845
    -443.0773931069064702      0.0050330
    -440.6690794926836361      0.0022826
    -438.2607271276730216      0.0019638
    -435.8523360109093687      0.0005851
    -433.4439061413607988     -0.0017377
    -431.0354375181952946     -0.0025244
    -428.6269301403810346      0.0063176
    -426.2183840071191980      0.0054825
    -423.8097991174113872      0.0012036
    -421.4011754702256667     -0.0040022
    -418.9925130647632727     -0.0006565
    -416.5838118999924404      0.0020085
    -414.1750719750810390      0.0045179
    -411.7662932889973604      0.0047862
    -409.3574758408093430      0.0041255
    -406.9486196296850267      0.0020273
    -404.5397246545258554     -0.0008073
    -402.1307909145665462      0.0026756
    -399.7218184087751638      0.0017165
    -397.3128071361864500     -0.0024978
    -394.9037570959683308      0.0050604
    -392.4946682870891550      0.0054736
    -390.0855407086834248      0.0061792
    -387.6763743597859389      0.0034697
    -385.2671692393981289      0.0022670
    -382.8579253466879777      0.0035807
    -380.4486426806569739      0.0014849
    -378.0393212404064229      0.0018864
    -375.6299610250044338      0.0009360
    -373.2205620334191281     -0.0005277
    -370.8111242648517987     -0.0016035
    -368.4016477182373137     -0.0019696
    -365.9921323927768526     -0.0003152
    -363.5825782874386505     -0.0024671
    -361.1729854012574492     -0.0025714
    -358.7633537334012317      0.0009187
    -356.3536832828380625      0.0052623
    -353.9439740487360382      0.0019991
    -351.5342260300632233      0.0050696
    -349.1244392258877838      0.0039257
    -346.7146136353774750      0.0053170
    -344.3047492574340822      0.0081961
    -341.8948460912587279      0.0113983
    -339.4849041358862110      0.0043897
    -337.0749233902847095      0.0099980
    -334.6649038536554599      0.0154997
    -332.2548455249666404      0.0186957
    -329.8447484033195565      0.0177422
    -327.4346124878156843      0.0154457
    -325.0244377773897781      0.0118372
    -322.6142242712430743      0.0101806
    -320.2039719683438648      0.0082494
    -317.7936808678267653      0.0049949
    -315.3833509687597143      0.0050044
    -312.9729822700777504      0.0043503
    -310.5625747710152496      0.0018706
    -308.1521284705072503      0.0051436
    -305.7416433677215650      0.0031532
    -303.3311194616264856     -0.0031597
    -300.9205567513232609     -0.0004228
    -298.5099552358801134      0.0005395
    -296.0993149143316145     -0.0006549
    -293.6886357858124370     -0.0000335
    -291.2779178493574364      0.0028904
    -288.8671611039347340     -0.0031807
    -286.4563655487456231     -0.0001656
    -284.0455311827249716      0.0004729
    -281.6346580050739590      0.0060752
    -279.2237460147607635     -0.0005501
    -276.8127952108202408     -0.0006242
    -274.4018055924202031     -0.0001576
    -271.9907771584956890      0.0036251
    -269.5797099082478212      0.0043567
    -267.1686038406780312     -0.0051021
    -264.7574589547879782      0.0019328
    -262.3462752497454176      0.0064865
    -259.9350527245185845     -0.0005016
    -257.5237913782754617      0.0030738
    -255.1124912099841708     -0.0009794
    -252.7011522187128207      0.0031484
