Z   El     AtomicMass         AtomicWeight
1   H   1.00782503223(9)     1.0079
2   He  3.0160293201(25)     4.002602
3   Li  6.0151228874(16)     6.968
4   Be  9.012183065(82)      9.01218
5   B   10.01293695(41)      10.813
6   C   12.0000000(00)       12.0105
7   N   14.00307400443(20)   14.0069
8   O   15.99491461957(17)   15.9995
9   F   18.99840316273(92)   18.9984
10  Ne  19.9924401762(17)    20.1797
11  Na  22.9897692820(19)    22.9897
12  Mg  23.985041697(14)     24.3055
13  Al  26.98153853(11)      26.9815
14  Si  27.97692653465(44)   28.085
15  P   30.97376199842(70)   30.973
16  S   31.9720711744(14)    32.066
17  Cl  34.968852682(37)     35.452
18  Ar  35.967545105(28)     39.948
19  K   38.9637064864(49)    39.098
20  Ca  39.962590863(22)     40.078
21  Sc  44.95590828(77)      44.955
22  Ti  45.95262772(35)      47.867
23  V   49.94715601(95)      50.941      
24  Cr  49.94604183(94)      51.996      
25  Mn  54.93804391(48)      54.938      
26  Fe  53.93960899(53)      55.845      
27  Co  58.93319429(56)      58.933      
28  Ni  57.93534241(52)      58.693     
29  Cu  62.92959772(56)      63.546     
30  Zn  63.92914201(71)      65.38     
31  Ga  68.9255735(13)       69.723     
32  Ge  69.92424875(90)      72.630     
33  As  74.92159457(95)      74.921     
34  Se  73.922475934(15)     78.971     
35  Br  78.9183376(14)       79.904
36  Kr  77.92036494(76)      83.798     
37  Rb  84.9117897379(54)    85.467     
38  Sr  83.9134191(13)       87.62     
39  Y   88.9058403(24)       88.905     
40  Zr  89.9046977(20)       91.224             
41  Nb  92.9063730(20)       92.906
42  Mo  91.90680796(84)      95.95
43  Tc  96.9063667(40)       98.
44  Ru  95.90759025(49)      101.07
45  Rh  102.9054980(26)      102.90
46  Pd  101.9056022(28)      106.42
47  Ag  106.9050916(26)      107.86
48  Cd  105.9064599(12)      112.41
49  In  112.90406184(91)     114.81
50  Sn  111.90482387(61)     118.71
51  Sb  120.9038120(30)      121.76
52  Te  119.9040593(33)      127.60
53  I   126.9044719(39)      126.90
54  Xe  123.9058920(19)      131.29
55  Cs  132.9054519610(80)   132.90
56  Ba  129.9063207(28)      137.32
57  La  137.9071149(37)      138.90
58  Ce  135.90712921(41)     140.11
59  Pr  140.9076576(23)      140.90
60  Nd  141.9077290(20)      144.24
61  Pm  144.9127559(33)      145.
62  Sm  143.9120065(21)      150.36
63  Eu  150.9198578(18)      151.96
64  Gd  151.9197995(18)      157.25
65  Tb  158.9253547(19)      158.92
66  Dy  155.9242847(17)      162.50
67  Ho  164.9303288(21)      164.93
68  Er  161.9287884(20)      167.25
69  Tm  168.9342179(22)      168.93
70  Yb  167.9338896(22)      173.05
71  Lu  174.9407752(20)      174.96
72  Hf  173.9400461(28)      178.49
73  Ta  179.9474648(24)      180.94
74  W   179.9467108(20)      183.84
75  Re  184.9529545(13)      186.20
